OBJECTID,LABEL,TXAR,TXCC,TXCF,TXCT,TXGF,TXKW,TXLA,TXMM,TXPA,TXRO,TXSB,Year
1,Unclassified,44530,332296,9162,83569,277755,516047,331821,96583,99840,0,141079,1995
2,Dense Mangrove,0,0,1,178,0,0,0,0,186,0,0,1995
3,Open Mangrove,0,0,0,577,0,0,4,0,3097,0,0,1995
4,open_water,165948,38645,266145,217089,65437,0,89057,190662,255302,286687,0,1995
5,other_veg,231456,25383,143654,55565,108679,0,34956,125483,86694,144900,0,1995
6,urban_impervious,3870,23209,41680,9902,5695,0,4905,12210,22590,29768,0,1995
7,grassland_wetland,75648,40054,58105,144619,65305,0,51637,98685,51958,59287,0,1995
