OBJECTID,Class_Name,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP
155,Pasture/Hay to Low Intensity Developed,666,0,1492,1135,132,0,26,0,0,670,34,17,0,0,0,12,100,462,397,102,0,0,0,0,0,0,0,29,158,31,309,86,396,228,0,161,179,0,8,0,940,0,38,66,255,2
156,Pasture/Hay to Developed Open Space,1259,0,3530,2406,148,0,44,0,0,501,990,48,0,0,0,30,75,303,894,117,9,19,0,0,0,0,1,4,115,237,462,92,225,669,2,401,623,0,28,0,1200,44,295,27,188,163
157,Pasture/Hay to Cultivated,0,0,192,0,1,0,330,0,0,2,0,0,0,0,0,0,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
158,Pasture/Hay to Pasture/Hay,15399,75,44902,17843,1892,0,920,0,3613,9796,19802,4945,0,36,0,12059,1091,1221,20339,2770,15505,0,0,0,0,0,981,1227,1443,3884,13008,1303,17838,16824,18,3181,27398,0,1383,4,27021,5133,1708,173,13738,640
159,Pasture/Hay to Grassland,14,0,0,5,36,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Pasture/Hay to Deciduous Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Pasture/Hay to Evergreen Forest,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Pasture/Hay to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Pasture/Hay to Scrub/Shrub,9,0,6,12,385,0,44,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,115,0,0,0,0,0
164,Pasture/Hay to Palustrine Forested Wetland,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Pasture/Hay to Palustrine Scrub/Shrub Wetland,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Pasture/Hay to Palustrine Emergent Wetland,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,50,0,0,0,0,0
167,Pasture/Hay to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Pasture/Hay to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Pasture/Hay to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Pasture/Hay to Unconsolidated Shore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Pasture/Hay to Bare Land,536,0,439,36,1,0,0,0,0,184,11,0,0,0,0,0,66,25,292,169,110,0,0,0,0,0,0,0,2,11,370,0,92,650,0,1,262,0,0,0,85,0,0,30,122,0
172,Pasture/Hay to Water,0,0,256,22,5,0,9,0,0,82,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,20,2,50,122,0,0,101,0,0,0,56,0,0,2,116,0
173,Pasture/Hay to Palustrine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Pasture/Hay to Estuarine Aquatic Bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Pasture/Hay to Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Pasture/Hay to Snow/Ice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Grassland to Unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Grassland to High Intensity Developed,73,0,71,56,25,0,42,0,0,79,2,40,1,0,0,24,18,29,66,52,1,0,0,0,0,0,0,22,20,46,102,17,8,34,6,24,10,0,0,0,27,103,38,2,11,28
179,Grassland to Medium Intensity Developed,223,0,471,261,69,0,129,0,0,253,189,88,3,0,0,268,49,117,128,306,27,6,1,0,0,0,2,64,69,46,242,92,72,80,29,191,28,0,15,0,202,176,132,9,110,113
180,Grassland to Low Intensity Developed,285,0,409,240,100,0,109,0,0,185,11,83,7,0,0,314,52,157,176,339,138,3,0,0,0,0,0,67,109,42,223,79,180,69,57,253,53,0,69,0,353,260,129,9,151,207
181,Grassland to Developed Open Space,148,0,438,242,48,0,203,0,0,206,64,83,20,0,0,187,185,217,227,244,45,54,0,22,28,0,1,58,156,73,202,49,178,249,24,210,70,13,8,0,88,241,215,7,206,236
182,Grassland to Cultivated,0,0,1,0,3,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
183,Grassland to Pasture/Hay,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
184,Grassland to Grassland,7176,1291,14451,6370,2435,209,9630,34,6433,4957,9250,12273,823,35,1315,17667,1579,1851,6881,7916,4320,1172,147,443,553,11443,3636,9264,2140,2179,4227,9330,9047,6092,2424,6224,9191,760,8198,816,6300,3431,3944,2242,7312,2870
185,Grassland to Deciduous Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Grassland to Evergreen Forest,2,0,0,0,15,0,1,0,0,0,0,31,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0
187,Grassland to Mixed Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Grassland to Scrub/Shrub,64,9,181,76,253,0,676,0,2139,37,36,311,20,0,0,4963,19,0,62,586,30,0,0,0,0,0,156,6766,5,6,54,310,736,14,1016,3049,77,0,1606,0,10,24,7,0,70,3
189,Grassland to Palustrine Forested Wetland,0,0,1,0,9,0,0,0,0,0,3,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Grassland to Palustrine Scrub/Shrub Wetland,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0
191,Grassland to Palustrine Emergent Wetland,1,0,3,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
192,Grassland to Estuarine Forested Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Grassland to Estuarine Scrub/Shrub Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Grassland to Estuarine Emergent Wetland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
