OBJECTID,LABEL,ALDI,ALFM,ALGS,FLAB,FLAC,FLAL,FLBA,FLBC,FLBI,FLCB,FLCE,FLCK,FLCO,FLCR,FLDB,FLDC,FLDT,FLFD,FLFG,FLFL,FLFM,FLFP,FLJA,FLJD,FLKD,FLKL,FLKW,FLLK,FLLO,FLMI,FLMT,FLNA,FLNP,FLNR,FLPE,FLPI,FLPR,FLPS,FLSA,FLSB,FLSC,FLSM,FLSP,FLSR,FLST,FLTA,FLTT,FLVE,FLWP,LACR,LAGI,LAJB,LANO,LANS,LASA,LAVE,MSJC,MSSH,TXAY,TXBP,TXFR,TXGA,TXHO,TXMM,TXOC,TXOR,TXSB,TXSR,LULC
18,Other urban or built-up land ,770,487,6390,0,37,3262,8110,13643,0,8539,774,0,4099,2150,3811,12301,94,2493,728,37025,7055,4327,7073,3509,13277,0,1221,1305,264,0,0,9975,10496,1983,5927,4347,2054,3424,807,880,1389,482,13946,9681,4989,14236,1549,3450,25270,0,286,0,3794,3586,0,0,1957,121,4117,0,87,1113,3741,0,1580,0,0,0,
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Cropland and pasture ,11769,0,147703,39980,243,171684,148759,5164,0,0,0,631,28332,50745,6237,4108,0,0,29158,90297,39162,50898,5666,43275,47767,0,0,0,21930,0,1914,25740,51779,52424,20591,50866,49119,0,12736,46178,0,7305,9661,105519,51636,55457,32312,25993,159819,56961,0,44371,5151,8478,11614,5633,18306,33306,270163,27239,89630,5585,253039,37100,103986,69215,52606,5745,
23,"Orchards, groves, vineyards, nurseries, and ornamental horticulture ",613,0,3197,9275,0,37392,29805,0,0,0,0,0,25494,132,289,0,0,0,0,23566,1401,142035,0,28800,2279,0,0,0,0,7273,0,1661,34760,19749,0,1387,11273,0,0,51620,570,0,101,4931,4254,18454,0,0,11650,0,0,0,326,0,0,244,2984,205,141,0,99,0,21,0,0,146,98,0,
24,Confined feeding operation ,0,0,122,939,0,0,370,0,0,0,0,0,54,0,480,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,64,0,485,0,0,32,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,
25,Other agricultural ,0,0,309,0,40,8126,491,0,0,0,0,0,0,57,0,0,0,0,0,223,0,0,0,166,0,0,0,0,168,0,484,49,336,0,217,87,0,0,0,674,0,0,243,0,678,705,0,0,796,0,0,0,0,86,0,0,224,18,0,0,90,0,0,0,0,0,0,0,
26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Herbaceous rangeland ,0,0,0,17950,0,86726,21886,0,0,0,0,0,60542,1506,0,210,0,0,868,9643,22427,95164,0,67887,6618,0,0,0,0,105366,1148,5956,55783,71670,0,15704,57968,0,0,169911,0,0,22085,64891,157171,11822,2377,171457,0,0,0,0,0,0,0,0,0,0,0,0,27489,0,0,14887,0,0,132770,0,
33,Shrub and brush rangeland ,0,8357,9821,0,0,921,0,0,0,0,0,912,0,0,0,0,0,0,0,1285,823,0,0,136,1055,0,0,0,0,0,0,0,0,0,35,738,1658,812,0,4,0,194,0,0,0,311,269,2307,606,0,0,0,0,6955,0,0,0,0,0,0,2380,0,0,7858,0,0,7704,1272,
34,Mixed rangeland ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,14033,0,0,47288,0,0,0,0,0,0,0,17472,0,0,0,0,15582,0,0,0,0,0,0,0,0,0,12154,0,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,Deciduous forest land ,5895,0,245,0,0,0,0,0,0,630,0,0,0,0,0,366,0,0,0,0,0,0,0,0,2624,0,0,0,0,0,0,5960,0,0,0,0,0,0,0,1454,0,0,0,0,0,0,0,0,0,0,0,3342,20754,0,1034,3355,717,0,31893,0,3208,0,31351,0,13963,8934,0,0,
