OBJECTID,LABEL,TXAR,TXCC,TXCF,TXCT,TXGF,TXKW,TXLA,TXMM,TXPA,TXRO,TXSB,Year
1,Unclassified,44530,332296,9162,83569,277755,516047,331821,96583,99840,0,141079,1990
2,Dense Mangrove,0,0,0,0,0,0,0,0,0,0,0,1990
3,Open Mangrove,0,0,0,1039,0,0,24,0,0,0,0,1990
4,open_water,159458,32625,254593,175004,55424,0,99286,180273,243421,280485,0,1990
5,other_veg,219004,29374,142528,57798,47013,0,36806,75162,94248,158735,0,1990
6,urban_impervious,5683,31743,81720,118848,7865,0,23212,18079,42950,48013,0,1990
7,grassland_wetland,92777,33549,30744,75241,134814,0,21231,153526,39208,33409,0,1990
