OBJECTID,LABEL,TXAR,TXCC,TXCF,TXCT,TXGF,TXKW,TXLA,TXMM,TXPA,TXRO,TXSB,Year
1,Unclassified,44530,332296,9162,83569,277755,516047,331821,96583,99840,0,141079,2000
2,Dense Mangrove,0,0,0,137,0,0,7,0,0,0,0,2000
3,Open Mangrove,0,0,0,1361,0,0,45,0,7398,2,0,2000
4,open_water,161006,35436,259165,245391,56820,0,113652,175983,247962,282432,0,2000
5,other_veg,167846,8694,46553,46236,92408,0,13575,146810,60441,69186,0,2000
6,urban_impervious,15183,19027,46213,9091,16344,0,389,21296,31980,27941,0,2000
7,grassland_wetland,132887,64134,157654,125714,79544,0,52891,82951,72046,141081,0,2000
